originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
3,State Universities,2,Comprehensive Universities,FVS,Fort Valley State University,GSC,Georgia Southern University,582,576,679,635,613,675,718,750,897,853,685,665,1,3,3,6,5,3,6,12,12,12,9,12
4,State Colleges,4,State Colleges,GHC,Georgia Highlands College,AMC,Atlanta Metropolitan State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,0,1,1,1,0,0,1,3,1,3,5
4,State Colleges,4,State Colleges,CCG,College of Coastal Georgia,GGC,Georgia Gwinnett College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,1,0,1,6,1,1
4,State Colleges,4,State Colleges,BAN,Bainbridge State College,SGC,South Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,1,0,1,1,2,4,4,6,1,0,0
4,State Colleges,3,State Universities,ABC,Abraham Baldwin Agricultural College,GSW,Georgia Southwestern State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,34,46,32,44,55,55,91,73,66,45,46,39
3,State Universities,1,Research Universities,GAN,Gainesville State College,GIT,Georgia Institute of Technology,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,16,18,13,17,19,16,21,28,18,26,11,0
4,State Colleges,3,State Universities,GPC,Georgia Perimeter College,GAN,Gainesville State College,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,82,74,76,86,110,178,124,110,76,69,29,0
4,State Colleges,1,Research Universities,CCG,College of Coastal Georgia,GSU,Georgia State University,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,10,8,4,8,5,5,6,15,12,5,1,13
4,State Colleges,4,State Colleges,GDN,Gordon State College,ABC,Abraham Baldwin Agricultural College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,2,6,4,2,5,3,5,3,5,8,8,5
4,State Colleges,4,State Colleges,MGSC,Middle Georgia State College,GPC,Georgia Perimeter College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,15,16,24,23,31,39,36,32,43,25,21,32
1,Research Universities,3,State Universities,GRU,Georgia Regents University,CSC,Clayton State University,436,407,418,376,360,378,409,384,369,436,388,333,0,2,1,1,0,1,0,0,0,0,1,2
1,Research Universities,4,State Colleges,GIT,Georgia Institute of Technology,CCG,College of Coastal Georgia,409,451,427,403,456,524,640,626,671,612,536,604,0,1,2,0,2,1,0,0,0,0,1,2
5,Out-of-System,4,State Colleges,OUT,Non-USG Institutions,EGC,East Georgia State College,4945,5397,5258,5420,6058,6228,7642,7955,8421,7660,6700,7022,34,69,73,105,117,146,141,139,66,14,179,171
4,State Colleges,2,Comprehensive Universities,GHC,Georgia Highlands College,UWG,University of West Georgia,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,125,151,148,147,199,172,174,115,123,107,125,121
3,State Universities,4,State Colleges,ALS,Albany State University,AMC,Atlanta Metropolitan State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,4,2,3,12,5,6,4,10,7,18,12,16
1,Research Universities,3,State Universities,AUG,Augusta State University,SSU,Savannah State University,436,407,418,376,360,378,409,384,369,436,388,333,1,2,0,4,1,1,3,2,2,0,0,0
2,Comprehensive Universities,3,State Universities,UWG,University of West Georgia,GSW,Georgia Southwestern State University,550,601,590,596,633,639,702,707,658,775,750,647,2,5,2,4,1,3,1,3,3,2,3,1
4,State Colleges,4,State Colleges,SGSC,South Georgia State College,ABC,Abraham Baldwin Agricultural College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,18,17,23,12,16,17,16,19,19,31,24,28
4,State Colleges,4,State Colleges,MAC,Macon State College,GGC,Georgia Gwinnett College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,1,1,6,2,4,3,0
4,State Colleges,4,State Colleges,GGC,Georgia Gwinnett College,DAR,Darton State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,5,3
3,State Universities,4,State Colleges,ALS,Albany State University,MGSC,Middle Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,6,3
4,State Colleges,3,State Universities,GDN,Gordon State College,GAN,Gainesville State College,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,10,6,11,6,12,23,8,10,11,4,3,0
4,State Colleges,1,Research Universities,GDN,Gordon State College,GRU,Georgia Regents University,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,8,7,9,7,3,7,5,3,1,3,2,2
3,State Universities,1,Research Universities,GAN,Gainesville State College,GRU,Georgia Regents University,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,9,12,14,14,21,13,16,11,14,3,0,0
3,State Universities,2,Comprehensive Universities,UNGA,University of North Georgia,GSC,Georgia Southern University,582,576,679,635,613,675,718,750,897,853,685,665,3,10,4,5,8,5,8,8,10,8,11,35
3,State Universities,4,State Colleges,NGC,North Georgia College & State University,DAL,Dalton State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,4,8,2,6,6,4,13,6,9,8,6,0
3,State Universities,4,State Colleges,AAS,Armstrong Atlantic State University,EGC,East Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,3,3,5,6,10,7,12,14,7,1,8,8
4,State Colleges,4,State Colleges,EGC,East Georgia State College,GGC,Georgia Gwinnett College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,1,3,1,4,3,6,5,8
3,State Universities,3,State Universities,GSW,Georgia Southwestern State University,UNGA,University of North Georgia,691,801,890,788,844,859,880,964,938,1023,728,557,0,0,0,0,0,0,0,0,0,0,3,4
1,Research Universities,3,State Universities,GSU,Georgia State University,NGC,North Georgia College & State University,436,407,418,376,360,378,409,384,369,436,388,333,14,11,14,9,13,17,16,19,16,11,13,0
4,State Colleges,4,State Colleges,GPC,Georgia Perimeter College,CCG,College of Coastal Georgia,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,1,0,7,4,5,2,3,10,3,10,7
3,State Universities,3,State Universities,GCM,Georgia College & State University,UNGA,University of North Georgia,691,801,890,788,844,859,880,964,938,1023,728,557,0,0,0,0,0,0,0,0,0,0,33,29
1,Research Universities,1,Research Universities,GRU,Georgia Regents University,UGA,University of Georgia,535,591,544,522,566,504,573,509,533,509,457,447,0,1,1,0,1,0,2,0,0,0,0,0
1,Research Universities,4,State Colleges,GSU,Georgia State University,GGC,Georgia Gwinnett College,409,451,427,403,456,524,640,626,671,612,536,604,0,0,0,12,6,25,33,60,54,75,72,75
3,State Universities,3,State Universities,UNGA,University of North Georgia,GSW,Georgia Southwestern State University,691,801,890,788,844,859,880,964,938,1023,728,557,2,0,1,1,0,3,3,1,5,5,3,8
2,Comprehensive Universities,4,State Colleges,UWG,University of West Georgia,ABC,Abraham Baldwin Agricultural College,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,2,1,0,1,3,1,0,3,3,2,0,5
3,State Universities,3,State Universities,SPS,Southern Polytechnic State University,CSC,Clayton State University,691,801,890,788,844,859,880,964,938,1023,728,557,4,8,9,4,6,6,5,6,2,4,5,5
2,Comprehensive Universities,4,State Colleges,UWG,University of West Georgia,AMC,Atlanta Metropolitan State College,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,12,15,6,9,9,4,5,10,9,16,27,16
3,State Universities,4,State Colleges,CSU,Columbus State University,SGC,South Georgia College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,1,1,0,1,1,0,1,1,5,2,1,0
1,Research Universities,1,Research Universities,AUG,Augusta State University,GIT,Georgia Institute of Technology,535,591,544,522,566,504,573,509,533,509,457,447,6,8,3,6,6,4,3,9,11,8,1,0
3,State Universities,1,Research Universities,UNGA,University of North Georgia,GSU,Georgia State University,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,20,16,23,16,18,15,21,16,20,25,25,75
3,State Universities,1,Research Universities,CSC,Clayton State University,GSU,Georgia State University,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,74,58,68,64,73,86,71,61,70,74,67,51
4,State Colleges,4,State Colleges,DAR,Darton State College,GPC,Georgia Perimeter College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,11,10,12,16,12,16,17,24,31,23,21,20
5,Out-of-System,4,State Colleges,OUT,Non-USG Institutions,MAC,Macon State College,4945,5397,5258,5420,6058,6228,7642,7955,8421,7660,6700,7022,441,497,564,563,512,520,576,542,488,564,280,0
4,State Colleges,4,State Colleges,AMC,Atlanta Metropolitan State College,GGC,Georgia Gwinnett College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,1,0,3,8,6,13,7,7
1,Research Universities,2,Comprehensive Universities,UGA,University of Georgia,GSC,Georgia Southern University,457,438,425,401,353,377,397,398,369,403,352,335,14,20,23,18,14,14,19,16,28,20,28,18
2,Comprehensive Universities,1,Research Universities,KEN,Kennesaw State University,AUG,Augusta State University,728,750,761,875,902,923,976,965,1101,1069,996,949,3,1,6,9,6,5,10,8,9,14,2,0
3,State Universities,4,State Colleges,SSU,Savannah State University,GPC,Georgia Perimeter College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,15,25,23,17,27,23,30,33,40,55,36,43
4,State Colleges,3,State Universities,MAC,Macon State College,SPS,Southern Polytechnic State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,2,5,6,5,7,9,3,7,5,2,0
1,Research Universities,3,State Universities,GRU,Georgia Regents University,GSW,Georgia Southwestern State University,436,407,418,376,360,378,409,384,369,436,388,333,1,0,1,0,0,2,1,0,0,0,0,1
1,Research Universities,3,State Universities,UGA,University of Georgia,GCM,Georgia College & State University,436,407,418,376,360,378,409,384,369,436,388,333,13,19,12,9,10,8,6,20,10,4,10,8
1,Research Universities,4,State Colleges,GIT,Georgia Institute of Technology,BAN,Bainbridge State College,409,451,427,403,456,524,640,626,671,612,536,604,0,0,0,0,0,0,0,0,1,0,1,0
4,State Colleges,3,State Universities,GGC,Georgia Gwinnett College,CSU,Columbus State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,0,0,0,0,0,0,0,0,0,8,5
1,Research Universities,4,State Colleges,AUG,Augusta State University,ABC,Abraham Baldwin Agricultural College,409,451,427,403,456,524,640,626,671,612,536,604,2,1,2,0,0,0,0,1,0,1,0,0
4,State Colleges,4,State Colleges,SGSC,South Georgia State College,GGC,Georgia Gwinnett College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,2,6,6,5
3,State Universities,4,State Colleges,UNGA,University of North Georgia,MGSC,Middle Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,3,10
4,State Colleges,3,State Universities,GHC,Georgia Highlands College,AAS,Armstrong Atlantic State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,4,5,3,5,3,3,5,8,5,5,6,8
3,State Universities,2,Comprehensive Universities,ALS,Albany State University,VSU,Valdosta State University,582,576,679,635,613,675,718,750,897,853,685,665,3,6,8,7,11,10,7,6,9,1,4,5
4,State Colleges,1,Research Universities,WAY,Waycross College,AUG,Augusta State University,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,0,1,2,1,3,2,1,1,1,1,0,0
4,State Colleges,4,State Colleges,EGC,East Georgia State College,MID,Middle Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,19,20,19,16,11,9,11,19,13,28,5,0
3,State Universities,2,Comprehensive Universities,GSW,Georgia Southwestern State University,GSC,Georgia Southern University,582,576,679,635,613,675,718,750,897,853,685,665,9,8,6,9,8,8,5,4,4,10,10,8
3,State Universities,4,State Colleges,CSU,Columbus State University,SGSC,South Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,1,0
4,State Colleges,3,State Universities,DAR,Darton State College,AAS,Armstrong Atlantic State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,7,10,12,4,7,14,16,12,7,13,14,12
4,State Colleges,1,Research Universities,GDN,Gordon State College,GIT,Georgia Institute of Technology,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,7,7,5,5,4,9,10,8,9,8,3,2
2,Comprehensive Universities,3,State Universities,GSC,Georgia Southern University,CSU,Columbus State University,550,601,590,596,633,639,702,707,658,775,750,647,14,13,18,15,26,21,12,20,10,22,15,15
3,State Universities,4,State Colleges,GSW,Georgia Southwestern State University,GGC,Georgia Gwinnett College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,1,1,0,4,8,7,2,5
4,State Colleges,4,State Colleges,SGSC,South Georgia State College,MGSC,Middle Georgia State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,9,10
4,State Colleges,4,State Colleges,SGC,South Georgia College,GPC,Georgia Perimeter College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,6,11,5,9,6,10,11,14,15,23,8,0
4,State Colleges,4,State Colleges,MID,Middle Georgia College,GPC,Georgia Perimeter College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,15,16,24,23,31,39,36,32,43,25,10,0
3,State Universities,4,State Colleges,GAN,Gainesville State College,BAN,Bainbridge State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,2,0,1,3,1,0,0,0
4,State Colleges,3,State Universities,MGSC,Middle Georgia State College,SSU,Savannah State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,3,2,3,6,1,8,3,5,2,1,2,2
4,State Colleges,4,State Colleges,CCG,College of Coastal Georgia,MID,Middle Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,0,1,1,4,2,1,4,2,1,3,0
3,State Universities,3,State Universities,GSW,Georgia Southwestern State University,SSU,Savannah State University,691,801,890,788,844,859,880,964,938,1023,728,557,1,0,0,0,0,1,0,0,0,0,1,2
4,State Colleges,4,State Colleges,BAN,Bainbridge State College,AMC,Atlanta Metropolitan State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,1,0,1,1,2
3,State Universities,4,State Colleges,GSW,Georgia Southwestern State University,DAL,Dalton State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,1,2,1,0,1,0,0,0,0,1,2,0
4,State Colleges,3,State Universities,EGC,East Georgia State College,UNGA,University of North Georgia,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,0,0,0,0,0,0,0,0,0,10,12
3,State Universities,4,State Colleges,FVS,Fort Valley State University,GHC,Georgia Highlands College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,1,0,3,4,3,3
1,Research Universities,4,State Colleges,GIT,Georgia Institute of Technology,GHC,Georgia Highlands College,409,451,427,403,456,524,640,626,671,612,536,604,1,3,0,3,4,3,4,1,4,2,7,0
3,State Universities,4,State Colleges,GAN,Gainesville State College,AMC,Atlanta Metropolitan State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,1,2,1,0
3,State Universities,2,Comprehensive Universities,SPS,Southern Polytechnic State University,VSU,Valdosta State University,582,576,679,635,613,675,718,750,897,853,685,665,2,2,0,2,1,1,2,1,1,1,1,2
3,State Universities,4,State Colleges,CSU,Columbus State University,MGSC,Middle Georgia State College,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,0,0,0,0,8,4
1,Research Universities,4,State Colleges,GIT,Georgia Institute of Technology,GPC,Georgia Perimeter College,409,451,427,403,456,524,640,626,671,612,536,604,46,64,70,45,38,67,70,43,43,38,30,40
3,State Universities,2,Comprehensive Universities,GAN,Gainesville State College,GSC,Georgia Southern University,582,576,679,635,613,675,718,750,897,853,685,665,14,25,23,20,33,33,31,48,58,45,11,0
1,Research Universities,4,State Colleges,GRU,Georgia Regents University,MID,Middle Georgia College,409,451,427,403,456,524,640,626,671,612,536,604,0,0,1,1,0,0,0,0,0,0,0,0
4,State Colleges,1,Research Universities,SGSC,South Georgia State College,AUG,Augusta State University,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,3,4,1,8,0,9,2,4,4,5,0,0
4,State Colleges,4,State Colleges,BAN,Bainbridge State College,GGC,Georgia Gwinnett College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,1,0,0,1,0,0
4,State Colleges,3,State Universities,GGC,Georgia Gwinnett College,SPS,Southern Polytechnic State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,0,0,0,0,0,0,0,0,0,20,37
4,State Colleges,4,State Colleges,SGC,South Georgia College,MID,Middle Georgia College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,7,2,3,6,4,7,5,8,3,7,6,0
4,State Colleges,4,State Colleges,GGC,Georgia Gwinnett College,AMC,Atlanta Metropolitan State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,20,21
4,State Colleges,4,State Colleges,ABC,Abraham Baldwin Agricultural College,MAC,Macon State College,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,21,24,16,25,27,21,18,15,11,12,7,0
4,State Colleges,3,State Universities,WAY,Waycross College,GSW,Georgia Southwestern State University,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,0,6,8,11,14,12,15,9,8,2,0
