originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
2,Comprehensive Universities,4,State Colleges,KEN,Kennesaw,WAY,Waycross,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,1,0,0,0,0,0,0,1,0,0,0,0
4,State Colleges,4,State Colleges,GGC,Georgia Gwinnett,MGSC,Middle Georgia,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,5,4
2,Comprehensive Universities,1,Research Universities,KEN,Kennesaw,GRU,Georgia Regents,728,750,761,875,902,923,976,965,1101,1069,996,949,4,6,8,5,6,6,3,5,3,3,14,12
4,State Colleges,4,State Colleges,BAN,Bainbridge,MGSC,Middle Georgia,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,0,0,0,0,3,0
4,State Colleges,4,State Colleges,DAL,Dalton,GDN,Gordon,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,0,1,0,1,1,0,0,2,0,0,0
4,State Colleges,4,State Colleges,MAC,Macon,GHC,Georgia Highlands,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,2,0,5,2,1,2,1,0,2,0
4,State Colleges,1,Research Universities,GPC,Georgia Perimeter,GRU,Georgia Regents,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,27,16,21,31,23,20,14,17,16,17,34,37
3,State Universities,4,State Colleges,UNGA,University of North Georgia,GHC,Georgia Highlands,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,3,4,5,0,3,9,7,8,3,8,6,11
3,State Universities,4,State Colleges,SPS,Southern Polytechnic,AMC,Atlanta Metropolitan,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,2,3,0,1,0,1,3,1,1,3,2,3
4,State Colleges,4,State Colleges,WAY,Waycross,AMC,Atlanta Metropolitan,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,2,0,0,1,0,0,0,0,0,0
4,State Colleges,4,State Colleges,EGC,East Georgia,DAL,Dalton,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,2,2,0,0,0,0,0,0
4,State Colleges,3,State Universities,EGC,East Georgia,GSW,Georgia Southwestern,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,4,0,2,2,2,9,9,8,9,2,6,4
3,State Universities,3,State Universities,ALS,Albany,GAN,Gainesville,691,801,890,788,844,859,880,964,938,1023,728,557,1,1,0,0,2,0,3,2,1,1,0,0
3,State Universities,1,Research Universities,GCM,Georgia,GRU,Georgia Regents,797,1005,1253,1175,1268,1322,1589,1468,1541,1444,1108,1146,9,7,9,2,3,5,0,5,1,8,13,13
4,State Colleges,4,State Colleges,SGSC,South Georgia,MAC,Macon,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,7,4,6,3,3,5,4,9,7,6,0
